zh	en	ja
往 %c 移動。	Move %c.	%c へ移動。
航行 %c。	Sail %c.	%c へ航行。
%c 方向被擋住。	%c is blocked.	%c 方向は塞がれている。
船無法駛上陸地(B 下船)。	Ship can't go ashore (B to disembark).	
你進入了%s。	You enter the %s.	%s に入った。
你踏入了黑暗的地牢…	You step into the dark dungeon...	
你踏入了高聳的塔…	You step into the towering tower...	
你回到了地面。	You return to the surface.	
你沿樓梯回到了地面。	You climb back to the surface.	
歡迎來到 Sosaria,冒險者。	Welcome to Sosaria, adventurer.	ソレアリアへようこそ、冒険者よ。
你登上了船,可在水上航行。	You board the ship and can sail.	船に乗った。水上を航行できる。
你上岸了,船停在水邊。	You go ashore; the ship waits at the water's edge.	
附近沒有船(船在水邊,走近後按 B)。	No ship nearby (approach it on the water's edge, press B).	
這裡無法登船。	Cannot board here.	
時間之門開啟……招牌寫著:ANOS %s	A time door opens... the sign reads: ANOS %s	時の扉が開く……立て札にはANOS %s と。
時間之門化作藍霧消散了……	The time door dissipates into blue mist...	
一道時間之門如藍霧般在附近升起。	A time door rises nearby like blue mist.	
這裡沒有時間之門。	There is no time door here.	
%s攻擊你!失去 %d 點生命。	The %s attacks you! You lose %d HP.	
你擊敗了%s!(+%d 經驗)	You defeated the %s! (+%d EXP)	
你攻擊%s,但沒打中。	You attack the %s but miss.	
你擊中%s,造成 %d 傷害(剩 %d)。	You hit the %s for %d damage (%d left).	
前進。	Forward.	
後退。	Back.	
左轉。	Turn left.	
右轉。	Turn right.	
這裡無法登載。	Can't board here.	
你下了載具。	You disembark.	
附近沒有可下載具的地方。	Nowhere to disembark nearby.	
附近沒有載具。	No vehicle nearby.	
船員不讓你登船(需藍流蘇)。	The crew won't let you board (need Blue Tassle).	
奇怪,你進不去(需骷髏鑰)。	Strange, you can't get in (need Skull Key).	
金屬之聲喝令:你必須擁有生命符。	A metallic voice commands: you must have an Ankh.	
無法登載。	Cannot board.	
你騎上了馬。	You mount the horse.	
你登上了飛機。	You board the plane.	
你進入了火箭。	You enter the rocket.	
(除錯)取得所有關鍵道具。	(debug) Got all key items.	
只有火箭能發射升空。	Only a rocket can launch.	
金屬之聲:火箭無法發射(需三鋰)。	A metallic voice: ship incapable of launch (need Tri-Lithium).	
準備發射!你進入了%s 的軌道。	Prepare for launch! You enter orbit of %s.	
HYPERWARP……你來到了%s 的軌道。	HYPERWARP... you reach orbit of %s.	
該行星沒有可降落的地表(mapx%s)。	This planet has no surface to land on (mapx%s).	
你降落在%s 的地表。	You land on the surface of %s.	
你飢餓難耐,生命流逝……	You are starving; your life ebbs away...	
